label,flow_duration,total_packets,total_bytes,avg_pkt_len,avg_interarrival_time,flow_bytes_per_sec
Video Upload,0.0,8051.641293348082,8828288.070100779,1283.1712270211606,0.012715250020999838,1505550.0850567352
Browsing,12.75971099985912,32.63190851404049,280992.841682193,728.6206631273454,0.05193974969222645,50414.78775485681
Gaming,335.3032305264283,31283.74890161448,27129996.237335626,78.93940994073677,0.018430601644444898,197678.0962609154
Video Call,276.94193939579947,27611.144009588814,11347755.47513147,218.05822841870943,0.011382612809330362,429972.5210730518
Video Upload,67.02545740776291,16427.705945034777,14068685.651778381,1177.4860061233203,0.011405887261107805,2424121.701426109
Gaming,248.56995199597833,30894.59966251376,11457184.980285361,109.9396613344542,0.02215565426681298,185863.55336373506
Video Streaming,95.72533480803652,25437.042487719642,30996108.399030473,1374.7278035317456,0.006161356599042397,1422879.4063342537
Gaming,170.39321276971842,43458.68521336078,11272511.879351042,92.58636605647386,0.016161761518046384,103547.49970723854
Gaming,256.24706634535823,25981.99606421215,13307743.613815377,64.23934500669327,0.007607164035027545,212649.6022329162
Browsing,0.0,89.05776511411732,0.0,1029.584835349428,0.17021872510226832,19311.010158292815
Gaming,246.30208615079488,53996.82484967944,5006466.756798283,101.45782465905354,0.010004934146694731,257545.42029073517
Video Call,199.48355108553312,16415.361873118687,10371824.70292677,121.48755732622436,0.007972672989955047,378912.58609046356
Video Call,208.20312676009536,14381.54720649711,12092243.521512872,174.28690044013004,0.02544243986032831,291537.90253240033
Video Call,404.64641003121875,19430.58326493304,7918346.173610506,285.96936749483774,0.021164677372253526,279138.14635635575
Video Call,116.53822325324056,23846.14610188824,18319791.69417642,239.29520765192115,0.03463844301504612,600274.3192093365
Browsing,12.193228559058618,144.03883685831127,173610.19194199293,814.5462771903145,0.10969402077262545,40011.73893159836
Video Upload,87.00082591880806,117.91631193263493,31104339.66844007,1540.4811254242263,0.014037171359259505,1712675.9142477186
Video Call,368.9287238577888,24927.11478275809,15517826.88760718,282.99838447732657,0.0022339567885960275,358039.2183438132
Browsing,6.775354909823307,0.0,251633.3292010078,518.4430718606117,0.12372682264736096,86672.50099309716
Video Streaming,105.46325870502974,19619.332529514388,12498080.435686631,1179.0420522719353,0.0074619917684549085,1955891.3750599583
Gaming,431.97533110450826,47024.32542138501,0.0,71.75578489696696,0.008616954623676936,113658.86901960018
Gaming,381.4553292621014,22848.548831088658,10600350.77837648,84.38020880820811,0.009264046524867509,92737.82054311977
Video Streaming,292.2520234656464,7724.422315862827,36538445.12698246,1218.8168204931435,0.015120066897094782,615373.5217888574
Video Upload,4.051942344282722,10829.540490701187,24855701.169518024,1296.018522034692,0.00999605292968751,2863172.5054370593
Browsing,28.09304827159026,93.31172945673248,222401.28732037666,467.57122856521573,0.04439753770460171,30899.53971050836
Video Upload,65.30096327103503,4055.2555357754118,16670873.354596468,1388.2559607374988,0.0026509386673678878,3514718.456285119
Browsing,2.800548183106331,7.048160075669216,279608.1467186802,197.61895056715468,0.13603072349382445,42894.59406204455
Texting,6.164158655227881,35.89791907072807,661.7031353939749,146.18394908718417,0.2943060248234128,663.7576747647695
Video Call,220.86591415746645,25761.678697049396,1948632.2398112938,329.1283171776882,0.025744881216718724,433897.6782516858
Video Upload,101.78872506514772,9916.888186177854,25043310.96737544,1362.4794617232137,0.010122144797730872,1643186.4618150282
Video Streaming,173.09707171923387,6260.255052989865,23026521.67440874,1286.2628767383328,0.015105726341615227,2615813.1083509577
Video Upload,132.84215244829343,13770.335057066372,23814005.957033195,1286.861321703187,0.010994494699334457,2743484.5203372175
Video Streaming,217.76008133741345,16004.232832708007,26629347.527438458,1464.7786920714316,0.01965978700514071,1689559.7788386443
Video Upload,62.32252761464419,6642.361644734615,29130732.35682046,1444.8034286354684,0.005367744430934703,1952759.2704744812
Texting,13.23035463216868,28.879291066874785,2768.151606709632,93.98622604301517,0.6589965546305939,204.62962694492967
Gaming,421.01170489331827,48299.705257763286,12850980.336534742,58.5466930077031,0.013677715537990968,148016.81757962282
Gaming,162.27812638402708,37892.51694094812,9271298.311977558,85.2257109145031,0.004812522115078257,114162.23138502736
Texting,13.613283684498745,21.999666680612897,0.0,130.0187071024982,0.40433065990491857,1012.6796916212663
Gaming,517.4873171999425,58818.046639085616,16253437.583313445,108.7992553150425,0.007046374382354212,154509.8512462375
Texting,11.203663468006006,19.422735754607643,4411.073280087836,25.7028112015185,0.26877980250587336,291.07153760238054
Video Streaming,232.95070742957768,18208.288920427465,35838279.72589429,1487.719309562493,0.010206393535254024,1747498.6109199408
Video Call,189.3759878721824,18683.686290896432,11404489.833528077,244.07536627150452,0.01570580010972128,310007.8836156452
Gaming,377.83413706498357,28123.08205566802,10408278.36496335,96.71399182308127,0.008351472890366063,268599.0056848047
Browsing,24.032046143971304,145.4014988977697,137818.16404381028,810.4652947500949,0.05538799349511731,39403.13832921305
Video Streaming,147.39852264308303,18750.746770563142,24328736.109679673,1358.5301085994615,0.01132946130611502,1834002.440989328
Video Call,110.17812869803481,33136.11089144392,15408021.643342312,258.9779282277657,0.005648364105012734,268009.5057436386
